Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
3;Métro;GARE DE LYON;28640475;1;14;A;;;Paris;12
12;Métro;BELLEVILLE;7314438;2;11;;;;Paris;10
32;Métro;OPERA;5193831;3;7;8;;;Paris;9
61;Métro;BERCY;3884212;6;14;;;;Paris;12
70;Métro;DAUMESNIL;3634023;6;8;;;;Paris;12
95;Métro;BALARD;3236801;8;;;;;Paris;15
97;Métro;PEREIRE;3130190;3;;;;;Paris;17
102;Métro;CHARLES MICHELS;3079569;10;;;;;Paris;15
104;Métro;COLONEL FABIEN;3043606;2;;;;;Paris;10
107;Métro;GLACIERE;3005750;6;;;;;Paris;13
108;Métro;RICHELIEU-DROUOT;2994510;8;9;;;;Paris;9
118;Métro;MENILMONTANT;2847264;2;;;;;Paris;11
125;Métro;PORTE DE SAINT-OUEN;2710638;13;;;;;Paris;17
146;Métro;PLACE DES FETES;2318764;7bis;11;;;;Paris;19
151;Métro;PYRENEES;2288587;11;;;;;Paris;20
159;Métro;GONCOURT;2199170;11;;;;;Paris;11
160;Métro;FAIDHERBE-CHALIGNY;2190416;8;;;;;Paris;12
163;Métro;BLANCHE;2167570;2;;;;;Paris;9
165;Métro;SAINT-AMBROISE;2158466;9;;;;;Paris;11
167;Métro;RAMBUTEAU;2127291;11;;;;;Paris;3
176;Métro;DUPLEIX;2028963;6;;;;;Paris;15
192;Métro;LOUVRE;1869612;1;;;;;Paris;1
195;Métro;CADET;1843984;7;;;;;Paris;9
202;Métro;QUAI DE LA GARE;1735465;6;;;;;Paris;13
206;Métro;ETIENNE MARCEL;1705639;4;;;;;Paris;1
215;Métro;IENA;1646925;9;;;;;Paris;16
218;Métro;CAMBRONNE;1636566;6;;;;;Paris;15
219;Métro;EXELMANS;1607223;9;;;;;Paris;16
220;Métro;BEL AIR;1605573;6;;;;;Paris;12
226;Métro;CORVISART;1570331;6;;;;;Paris;13
240;Métro;BUZENVAL;1448855;9;;;;;Paris;20
242;Métro;RUE DU BAC;1423364;12;;;;;Paris;7
254;Métro;MAUBERT-MUTUALITE;1280387;10;;;;;Paris;5
256;Métro;PHILIPPE AUGUSTE;1262653;2;;;;;Paris;11
258;Métro;SEVRES-LECOURBE;1257040;6;;;;;Paris;15
268;Métro;MONCEAU;1148677;2;;;;;Paris;17
273;Métro;CARDINAL LEMOINE;1121854;10;;;;;Paris;5
288;Métro;RENNES;861334;12;;;;;Paris;6
292;Métro;VANEAU;725826;10;;;;;Paris;7
293;Métro;KLEBER;724215;6;;;;;Paris;16
294;Métro;BOTZARIS;669323;7bis;;;;;Paris;19
301;Métro;BOLIVAR;367598;7bis;;;;;Paris;19
305;Métro;EGLISE D'AUTEUIL;124941;10;;;;;Paris;16
36;RER;PORT ROYAL;2327686;B;;;;;Paris;5
4;Métro;MONTPARNASSE-BIENVENUE;20407224;4;6;12;13;;Paris;14
8;Métro;LES HALLES;10623876;4;;;;;Paris;1
14;Métro;PLACE D'ITALIE;7119097;5;6;7;;;Paris;13
16;Métro;STRASBOURG-SAINT-DENIS;6345770;4;8;9;;;Paris;2
22;Métro;CHATEAU ROUGE;5841122;4;;;;;Paris;18
24;Métro;PORTE DE CLIGNANCOURT;5611814;4;;;;;Paris;18
25;Métro;PORTE DE VINCENNES;5446602;1;;;;;Paris;12
27;Métro;MADELEINE;5330928;8;12;14;;;Paris;8
29;Métro;PORTE DE CLICHY;5278497;13;14;;;;Paris;17
33;Métro;PLACE CLICHY;5161932;2;13;;;;Paris;17
34;Métro;LA MOTTE-PICQUET-GRENELLE;5117708;6;8;10;;;Paris;15
38;Métro;LA CHAPELLE;4855531;2;;;;;Paris;9
48;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;4251916;7;9;;;;Paris;9
49;Métro;PORTE D'ORLEANS;4175817;4;;;;;Paris;14
51;Métro;PORTE MAILLOT;4138301;1;;;;;Paris;16
52;Métro;JAURES;4055461;2;5;7bis;;;Paris;19
73;Métro;REAUMUR-SEBASTOPOL;3579544;3;4;;;;Paris;3
87;Métro;PORTE DE VANVES;3395358;13;;;;;Paris;14
88;Métro;SEVRES-BABYLONE;3392504;10;12;;;;Paris;7
89;Métro;PORTE DE PANTIN;3374733;5;;;;;Paris;19
103;Métro;PORTE DE MONTREUIL;3067413;9;;;;;Paris;20
106;Métro;LA MUETTE;3010370;9;;;;;Paris;16
110;Métro;COUR SAINT-EMILION;2985122;14;;;;;Paris;12
114;Métro;JUSSIEU;2889642;7;10;;;;Paris;5
120;Métro;BONNE NOUVELLE;2806227;8;9;;;;Paris;10
124;Métro;CHEVALERET;2748696;6;;;;;Paris;13
127;Métro;CHARONNE;2705320;9;;;;;Paris;12
132;Métro;ALMA-MARCEAU;2564842;9;;;;;Paris;8
148;Métro;POISSONNIERE;2306725;7;;;;;Paris;10
153;Métro;TOLBIAC;2287918;7;;;;;Paris;13
156;Métro;SENTIER;2222744;3;;;;;Paris;3
157;Métro;COMMERCE;2212666;8;;;;;Paris;15
162;Métro;PERNETY;2173567;13;;;;;Paris;14
184;Métro;SAINT-PHILIPPE-DU-ROULE;1935004;9;;;;;Paris;8
188;Métro;NOTRE-DAME-DE-LORETTE;1893828;12;;;;;Paris;9
204;Métro;DUGOMMIER;1725412;6;;;;;Paris;12
213;Métro;SAINT-MARCEL;1666744;5;;;;;Paris;13
221;Métro;PORTE DE CHOISY;1592144;7;;;;;Paris;13
223;Métro;RIQUET;1588438;7;;;;;Paris;19
228;Métro;RICHARD LENOIR;1544636;5;;;;;Paris;11
231;Métro;PORTE DE CHARENTON;1529778;8;;;;;Paris;12
248;Métro;EDGAR QUINET;1349178;6;;;;;Paris;14
249;Métro;AVRON;1345521;2;;;;;Paris;11
253;Métro;PORTE D'IVRY;1282199;7;;;;;Paris;13
264;Métro;PONT NEUF;1188930;7;;;;;Paris;4
271;Métro;MOUTON-DUVERNET;1131403;4;;;;;Paris;14
276;Métro;PONT MARIE;1101482;7;;;;;Paris;4
