MARQUES;MODELE;CO2
SMART;SMART (33kW);118
SMART;SMART (40kW);118
SMART;SMART (40kW) CABRIOLET;118
SMART;SMART (45kW);118
SMART;SMART (45kW) CABRIOLET;118
TOYOTA;PRIUS 1.5L;120
SMART;SMART (33kW) BVA;122
SMART;SMART (40kW) BVA;122
SMART;SMART (40kW) CABRIOLET BVA;122
SMART;SMART (45kW) BVA;122
SMART;SMART (45kW) CABRIOLET BVA;122
RENAULT;TWINGO 1.2L GPL;126
SUZUKI;SWIFT 1.0L 3P;130
DAIHATSU;SIRION 1.3L S ou X;135
OPEL;CORSA 3P 1.0L 12V;135
OPEL;CORSA 3P 1.0L 12V CLIM;135
OPEL;CORSA 5P 1.0L 12V;135
OPEL;CORSA 5P 1.0L 12V CLIM;135
DAIHATSU;MOVE S ou X;136
FIAT;PUNTO 3P 60;136
FIAT;PUNTO 3P 60;136
FIAT;PUNTO 5P 60;136
FIAT;PUNTO 5P 60;136
FIAT;PUNTO 5P 60;136
LANCIA;Y 1.2L;136
RENAULT;TWINGO 1.2L QUICKSHIFT 5;136
RENAULT;CLIO 3P 1.2L 16v  QUICKSHIFT 5;137
RENAULT;CLIO 5P 1.2L 16v QUICKSHIFT 5;137
RENAULT;TWINGO 1.2L 16v QUICKSHIFT 5;137
TOYOTA;YARIS 3P 1.0L;137
TOYOTA;YARIS 5P 1.0L;137
RENAULT;CLIO 3P 1.2L 16v;139
RENAULT;CLIO 5P 1.2L 16v;139
RENAULT;TWINGO 1.2L QUICKSHIFT 5;139
SEAT;AROSA 1000;139
SEAT;AROSA 1000;139
RENAULT;TWINGO 1.2L 16v;140
LANCIA;Y 1.2L 16V;141
FIAT;PUNTO 3P 80;142
FIAT;PUNTO 3P 80;142
FIAT;PUNTO 5P 80;142
FIAT;PUNTO 5P 80;142
NISSAN;MICRA 3P 1.0L;142
NISSAN;MICRA 3P 1.0L;142
NISSAN;MICRA 3P 1.0L;142
NISSAN;MICRA 5P 1.0L;142
NISSAN;MICRA 5P 1.0L;142
NISSAN;MICRA 5P 1.0L;142
FIAT;SEICENTO;143
RENAULT;CLIO 3P 1.2L;143
RENAULT;CLIO 5P 1.2L;143
RENAULT;TWINGO 1.2L;143
RENAULT;TWINGO 1.2L GPL;143
AUDI;A21.4L (75ch);144
AUDI;A21.4L (75ch);144
TOYOTA;YARIS 3P 1.3L;144
TOYOTA;YARIS 5P 1.3L;144
CITROEN;SAXO 3P 1.1i;145
CITROEN;SAXO 5P 1.1i;145
DAIHATSU;YRVS ou X;145
FORD;KA1.3L;145
NISSAN;MICRA 3P 1.0L N-CVT;145
NISSAN;MICRA 3P 1.0L N-CVT;145
NISSAN;MICRA 3P 1.0L N-CVT;145
NISSAN;MICRA 5P 1.0L N-CVT;145
NISSAN;MICRA 5P 1.0L N-CVT;145
NISSAN;MICRA 5P 1.0L N-CVT;145
PEUGEOT;1063P 1.1i;145
PEUGEOT;1065P 1.1i;145
RENAULT;KANGOO 1.2L GPL;145
AUDI;A21.4L (75ch);146
AUDI;A21.4L (75ch);146
HYUNDAI;ATOS 1.0L GL;146
HYUNDAI;ATOS PRIME 1.0L GL/GL CLIM/GLS;146
RENAULT;CLIO 5P 1.2L;146
NISSAN;MICRA 3P 1.4L;147
NISSAN;MICRA 3P 1.4L;147
NISSAN;MICRA 5P 1.4L;147
NISSAN;MICRA 5P 1.4L;147
CITROEN;SAXO 3P 1.4i;148
CITROEN;SAXO 5P 1.4i;148
FORD;KA1.3L;148
PEUGEOT;1063P 1.4i;148
PEUGEOT;1065P 1.4i;148
PEUGEOT;2063P 1.1i;148
PEUGEOT;2065P 1.1i;148
RENAULT;TWINGO 1.2L;148
DAIHATSU;SIRION 1.3L 4WD;149
DAIHATSU;SIRION 1.3L BVA;149
FIAT;STILO 3P 1.2L (80ch);149
NISSAN;MICRA 3P 1.0L;149
NISSAN;MICRA 3P 1.0L;149
NISSAN;MICRA 3P 1.0L;149
NISSAN;MICRA 3P 1.0L N-CVT;149
NISSAN;MICRA 3P 1.0L N-CVT;149
NISSAN;MICRA 3P 1.0L N-CVT;149
NISSAN;MICRA 5P 1.0L;149
NISSAN;MICRA 5P 1.0L;149
NISSAN;MICRA 5P 1.0L;149
NISSAN;MICRA 5P 1.0L N-CVT;149
NISSAN;MICRA 5P 1.0L N-CVT;149
NISSAN;MICRA 5P 1.0L N-CVT;149
OPEL;CORSA 3P 1.2L 16V EASYTRONIC;149
OPEL;CORSA 3P 1.2L 16V EASYTRONIC CLIM;149
OPEL;CORSA 5P 1.2L 16V EASYTRONIC;149
OPEL;CORSA 5P 1.2L 16V EASYTRONIC CLIM;149
PEUGEOT;2063P 1.4i;149
PEUGEOT;2065P 1.4i;149
SEAT;AROSA 1400;149
SEAT;AROSA 1400;149
VOLKSWAGEN;LUPO 1.4L;149
VOLKSWAGEN;LUPO 1.4L 16S;149
VOLKSWAGEN;POLO 1.4L;149
VOLKSWAGEN;POLO 1.4L;149
FIAT;PUNTO 3P SPORTING;150
FIAT;PUNTO 3P SPORTING;150
SUZUKI;IGNIS 3P;150
SUZUKI;IGNIS 5P;150
VOLKSWAGEN;LUPO 1.4L 16S;151
VOLKSWAGEN;POLO 1.4L 16S;151
CITROEN;SAXO 3P 1.4i VTS;152
DAIHATSU;YRV4WD;152
FIAT;PANDA 1100;152
PEUGEOT;1063P SPORT 1.4i;152
SUZUKI;WAGON R+ 1.3L;152
SUZUKI;WAGON R+ 1.3L;152
HONDA;CIVIC 3P 1.4i LS;153
HONDA;CIVIC 5P 1.4i S/LS;153
PEUGEOT;2063P 1.6i 16S;153
PEUGEOT;2065P 1.6i 16S;153
FORD;KA1.3L;154
OPEL;AGILA 1.0L 12V;154
OPEL;CORSA 3P 1.2L 16V;154
OPEL;CORSA 3P 1.2L 16V CLIM;154
OPEL;CORSA 5P 1.2L 16V;154
OPEL;CORSA 5P 1.2L 16V CLIM;154
SEAT;IBIZA 3P 1000;154
VOLKSWAGEN;LUPO 1.4L;154
VOLKSWAGEN;POLO 1.4L;154
VOLKSWAGEN;POLO 1.4L;154
VOLKSWAGEN;POLO 1.4L 16S;154
FIAT;PUNTO 3P SPEEDGEAR;155
FIAT;PUNTO 3P SPEEDGEAR;155
FIAT;PUNTO 5P SPEEDGEAR;155
FIAT;PUNTO 5P SPEEDGEAR;155
FIAT;SEICENTO SPORTING;155
FIAT;STILO 5P 1.2L (80ch);155
HYUNDAI;ACCENT 3P GL CLIM;155
HYUNDAI;ACCENT 5P GL CLIM/GLS;155
LANCIA;Y 1.2L 16V;155
NISSAN;MICRA 3P 1.4L N-CVT;155
NISSAN;MICRA 3P 1.4L N-CVT;155
NISSAN;MICRA 5P 1.4L N-CVT;155
NISSAN;MICRA 5P 1.4L N-CVT;155
TOYOTA;YARIS VERSO 1.3L;155
DAIHATSU;YRVX BVA;156
